Gene,RNA tissue specific nTPM,liver_nTPM_value,Tissue expression cluster,RNA tissue cell type enrichment,has_liver_nTPM_high,has_liver_nTPM_low,has_liver_cluster,has_liver_enrichment,Classification,has_liver_in_ntpm,confidence_score,confidence_class,recommended_tier
PDGFRB,,,Cluster 7: Adipose tissue - Mixed function,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Adrenal gland - Fibroblasts, Kidney - Fibroblasts, Pituitary gland - Fibroblasts, Prostate - Fibroblasts",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
DLD,skeletal muscle: 222.4;tongue: 235.4,,Cluster 35: Non-specific - Mitochondria,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatocytes",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
HNRNPA1,,,Cluster 18: Non-specific - Ribosome,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SNRPA1,,,Cluster 77: Bone marrow - Cell proliferation,Testis - Early spermatids,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
CTSH,lung: 338.6,,Cluster 47: Spleen - Immune response,"Breast - Fibroblasts, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Keratinocyte (granular)",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
COX6C,,,Cluster 23: Non-specific - Cellular respiration,"Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Testis - Early spermatids",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
C1S,liver: 2762.6,2762.6,Cluster 31: Liver - Plasma proteins,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_2, Skin - Fibroblast_2, Spleen - Fibroblast_2",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,100,High Confidence,Tier 1 (Highest)
PARP1,,,Cluster 36: Lymphoid tissue - Cytokine signaling,"Adrenal gland - Adrenal cortex cells, Testis - Spermatogonia",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
IFIT2,bone marrow: 47.9,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,Liver - Hepatocytes,False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IFIT1,,,Cluster 5: Brain & Testis - Signal transduction,"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Thyroid gland - Fibroblasts",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
ALOX5,lung: 70.6;lymphoid tissue: 91.6,,Cluster 47: Spleen - Immune response,"Adipose subcutaneous - Macrophages, Adrenal gland - Macrophages, Breast - Breast glandular cells, Colon - Macrophages, Liver - Neutrophils, Pituitary gland - Macrophages, Skeletal muscle - Macrophages, Spleen - Neutrophils, Thyroid gland - Macrophages",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
UCHL1,brain: 801.0;pituitary gland: 277.7,,Cluster 33: Brain - Neuronal signaling,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Skin - Fibroblast_2",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
FURIN,liver: 298.0;salivary gland: 214.3,298.0,Cluster 68: Non-specific - Protein processing,,True,False,False,False,liver protein (nTPM≥100 only),True,40,Medium Confidence,Not recommended
LTA4H,,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Skin - Keratinocyte (other), Spleen - Neutrophils",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ALDOC,brain: 1117.1;retina: 1147.2,,Cluster 17: Neuronal - Synaptic function,"Adipose visceral - Adipocytes (Visceral), Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
C4A,adrenal gland: 112.2;liver: 328.2,328.2,Cluster 83: Liver - Metabolism,"Breast - Breast glandular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,90,High Confidence,Tier 1 (Highest)
C4B,adrenal gland: 214.6;liver: 375.4,375.4,Cluster 83: Liver - Metabolism,Liver - Hepatocytes,True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,90,High Confidence,Tier 1 (Highest)
H2AZ1,bone marrow: 613.3,,Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation,Testis - Spermatocytes,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
H2AC11,bone marrow: 12.8;testis: 5.7,,Cluster 77: Bone marrow - Cell proliferation,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
TFPT,brain: 91.1,,Cluster 33: Brain - Neuronal signaling,"Liver - Vascular Endothelial cells, Prostate - Prostate glandular cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
CISD3,,,Cluster 43: Non-specific - Mitochondrial translation,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral)",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ELFN1,liver: 14.2,14.2,Cluster 69: Liver - Oxidoreductase activity,"Colon - Endothelial cells, Liver - Hepatocytes, Minor Salivary Gland - Endothelial cells, Testis - Spermatogonia",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,75,Medium-High Confidence,Tier 3 (Medium)
POLR2M,,,Cluster 3: Non-specific - Unknown function,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
GSTT2,skin 1: 3.4,,,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
TRAPPC2,,,Cluster 64: Neuronal - Transcription,Spleen - B-cells (Spleen),False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SAA2,liver: 35358.8,35358.8,Cluster 83: Liver - Metabolism,"Adipose visceral - Adipocytes (Visceral), Minor Salivary Gland - Minor salivary glandular cells",True,False,True,False,liver protein (nTPM≥100 + cluster),True,75,Medium-High Confidence,Tier 1 (Highest)
MT1HL1,heart muscle: 5.6,,Cluster 30: Heart muscle - Heart development,Heart muscle - Cardiomyocytes,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SULT1A3,intestine: 232.9,,Cluster 25: Small intestine - Absorption,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
HSPA1A,,,Cluster 43: Non-specific - Mitochondrial translation,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
IGLC2,intestine: 9437.0;lymphoid tissue: 19382.3;stomach 1: 10530.9,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
CALM1,,,Cluster 22: Brain - Synaptic signal transduction,"Adipose visceral - Endothelial cells, Prostate - Smooth muscle cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SNHG28,,,,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
POLR1D,,,Cluster 18: Non-specific - Ribosome,"Skin - Keratinocyte (other), Testis - Early spermatids",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
GATD3,tongue: 367.9,,Cluster 35: Non-specific - Mitochondria,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
FDX1,adrenal gland: 303.9,,Cluster 26: Adrenal gland - Steroid metabolism,"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SRGN,bone marrow: 7997.0,,Cluster 77: Bone marrow - Cell proliferation,"Breast - Endothelial cells, Heart muscle - Endothelial cells, Liver - Neutrophils, Spleen - Neutrophils",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
RNASE2,bone marrow: 1689.0,,Cluster 6: Bone marrow - Innate immune response,"Adipose subcutaneous - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Prostate - Macrophages, Spleen - Hematopoietic stem cells, Stomach - Macrophages, Thyroid gland - Macrophages",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
RO60,,,Cluster 40: Non-specific - Transcription,Adrenal gland - Adrenal cortex cells,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
COX8A,,,Cluster 23: Non-specific - Cellular respiration,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
GAA,,,Cluster 44: Testis - Spermatogenesis,"Lung - Macrophages, Spleen - Macrophages, Testis - Early spermatids",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
AR,liver: 37.1,37.1,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Liver - Hepatocytes, Pancreas - Fibroblasts, Testis - Sertoli cells",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,75,Medium-High Confidence,Tier 3 (Medium)
RRAS,,,Cluster 41: Smooth muscle tissue - ECM organization,"Adrenal gland - Fibroblasts, Spleen - Fibroblast_1",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
HLA-C,lymphoid tissue: 1411.1,,Cluster 47: Spleen - Immune response,Thyroid gland - T-cells,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ARAF,,,Cluster 19: Non-specific - Basic cellular processes,Liver - Hepatocytes,False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
H1-4,bone marrow: 51.7,,Cluster 6: Bone marrow - Innate immune response,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SPP1,brain: 1980.6;gallbladder: 2349.6;kidney: 3486.9;placenta: 2701.1,,Cluster 34: Non-specific - Mixed function,Adipose subcutaneous - Macrophages,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
DLAT,tongue: 86.0,,Cluster 35: Non-specific - Mitochondria,"Adipose visceral - Adipocytes (Visceral), Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
PTPRF,,,Cluster 37: Liver & Intestine - Lipid metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Testis - Spermatocytes, Testis - Spermatogonia",False,False,True,True,liver protein (cluster + enrichment),False,50,Medium Confidence,Not recommended
TXN,esophagus: 1029.0,,Cluster 75: Epithelium - Extracellular exosomes,"Adrenal gland - Neutrophils, Kidney - Proximal tubular cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
COX5B,heart muscle: 1114.8;skeletal muscle: 1286.6,,Cluster 23: Non-specific - Cellular respiration,Heart muscle - Cardiomyocytes,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
CTSA,adrenal gland: 356.8,,Cluster 55: Kidney & Intestine - Metabolism,"Adipose subcutaneous - Macrophages, Adrenal gland - Adrenal cortex cells, Breast - Macrophages, Kidney - Proximal tubular cells, Lung - Macrophages, Spleen - Macrophages",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
MGST1,adipose tissue: 1058.2;adrenal gland: 1101.6;liver: 3006.2,3006.2,Cluster 83: Liver - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Macrophages, Kidney - Proximal tubular cells, Minor Salivary Gland - Minor salivary glandular cells, Skin - Sebaceous gland cells, Thyroid gland - Thyroid glandular cells",True,False,True,False,liver protein (nTPM≥100 + cluster),True,75,Medium-High Confidence,Tier 1 (Highest)
CYP2C8,liver: 2088.7,2088.7,Cluster 31: Liver - Plasma proteins,"Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,100,High Confidence,Tier 1 (Highest)
CYP2D6,liver: 312.1,312.1,Cluster 31: Liver - Plasma proteins,,True,False,True,False,liver protein (nTPM≥100 + cluster),True,65,Medium-High Confidence,Tier 1 (Highest)
MAPT,brain: 135.5;skeletal muscle: 76.2,,Cluster 22: Brain - Synaptic signal transduction,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Thyroid gland - Fibroblasts",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
C7,adrenal gland: 884.6,,Cluster 7: Adipose tissue - Mixed function,"Adrenal gland - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Pancreas - Fibroblasts, Prostate - Fibroblasts, Spleen - Fibroblast_2",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
PRKAR1A,,,Cluster 3: Non-specific - Unknown function,Thyroid gland - Thyroid glandular cells,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
TFPI,liver: 263.9;placenta: 184.8,263.9,Cluster 11: Liver - Plasma proteins,"Adrenal gland - Endothelial cells, Breast - Fibroblasts",True,False,True,False,liver protein (nTPM≥100 + cluster),True,65,Medium-High Confidence,Tier 1 (Highest)
PF4V1,intestine: 1.6;lymphoid tissue: 2.3,,Cluster 25: Small intestine - Absorption,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
Mgu,,,,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ESD,,,Cluster 1: Liver & Kidney - Metabolism,Thyroid gland - Thyroid glandular cells,False,False,True,False,liver protein (cluster only),False,25,Low-Medium Confidence,Not recommended
HSPD1,adrenal gland: 765.7,,Cluster 26: Adrenal gland - Steroid metabolism,Adrenal gland - Adrenal cortex cells,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
CLU,liver: 9442.3,9442.3,Cluster 50: Epididymis - Male reproductive secretion,"Liver - Hepatocytes, Lung - Fibroblast_2, Prostate - Smooth muscle cells, Testis - Sertoli cells",True,False,False,True,liver protein (nTPM≥100 + enrichment),True,75,Medium-High Confidence,Not recommended
GHR,adipose tissue: 81.8;liver: 206.8,206.8,Cluster 83: Liver - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Fibroblast_1",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,90,High Confidence,Tier 1 (Highest)
HSPA5,,,Cluster 6: Bone marrow - Innate immune response,Testis - Spermatocytes,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
LAMC1,placenta: 224.1,,Cluster 62: Connective tissue - ECM organization,Spleen - Fibroblast_2,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ACP2,,,Cluster 68: Non-specific - Protein processing,"Adipose subcutaneous - Macrophages, Prostate - Prostate glandular cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
MAP2,brain: 269.8;retina: 397.0,,Cluster 17: Neuronal - Synaptic function,Pituitary gland - Undifferentiated cells (Pituitary gland),False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
HSPA8,,,Cluster 23: Non-specific - Cellular respiration,Testis - Spermatogonia,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
LIPC,liver: 165.9,165.9,Cluster 31: Liver - Plasma proteins,"Liver - Hepatocytes, Minor Salivary Gland - Fibroblasts, Pituitary gland - Gonadotropes, Skin - Fibroblast_1",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,85,High Confidence,Tier 2 (High)
SLC2A1,placenta: 95.3;skin 1: 77.3,,Cluster 34: Non-specific - Mixed function,"Minor Salivary Gland - Minor salivary gland basal cells, Skin - Keratinocyte (other)",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SLC2A2,liver: 810.6,810.6,Cluster 83: Liver - Metabolism,"Kidney - Proximal tubular cells, Liver - Hepatocytes",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,95,High Confidence,Tier 1 (Highest)
SLC2A3,bone marrow: 423.6,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
EPB41,retina: 77.6,,Cluster 16: Non-specific - Transcription,"Adrenal gland - Adrenal cortex cells, Skin - Keratinocyte (other), Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
UMPS,,,Cluster 19: Non-specific - Basic cellular processes,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
PDHB,tongue: 287.5,,Cluster 35: Non-specific - Mitochondria,"Adrenal gland - Adrenal cortex cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
DBT,,,Cluster 1: Liver & Kidney - Metabolism,"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",False,False,True,True,liver protein (cluster + enrichment),False,50,Medium Confidence,Not recommended
ITGAM,bone marrow: 180.9,,Cluster 77: Bone marrow - Cell proliferation,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Lung - Neutrophil_2, Minor Salivary Gland - Macrophages, Skeletal muscle - Macrophages, Spleen - Neutrophils, Thyroid gland - Macrophages",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
PYGB,,,Cluster 80: Non-specific - Endocytosis,"Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells (progenitors), Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
MBL2,liver: 272.6,272.6,Cluster 31: Liver - Plasma proteins,Liver - Hepatocytes,True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,90,High Confidence,Tier 1 (Highest)
RALA,,,Cluster 34: Non-specific - Mixed function,"Lung - Endothelial cells, Testis - Spermatogonia",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
RALB,parathyroid gland: 324.6,,Cluster 24: Parathyroid gland - Vesicular transport,"Breast - Endothelial cells, Thyroid gland - Endothelial cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
NAT2,intestine: 32.5;liver: 124.6,124.6,Cluster 83: Liver - Metabolism,"Colon - Colon enterocytes, Pituitary gland - Undifferentiated cells (Pituitary gland)",True,False,True,False,liver protein (nTPM≥100 + cluster),True,60,Medium-High Confidence,Tier 2 (High)
BCR,,,Cluster 33: Brain - Neuronal signaling,"Pituitary gland - Corticotropes, Testis - Sertoli cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SPTB,bone marrow: 61.7;skeletal muscle: 151.0;tongue: 67.1,,Cluster 79: Non-specific - Transcription,"Kidney - Podocytes, Liver - Erythroid cells, Spleen - Erythrocytes, Testis - Spermatogonia",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
LAMP1,,,Cluster 73: Breast - Lactation,"Breast - Fibroblasts, Lung - Macrophages, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
PIM1,bone marrow: 216.1,,Cluster 77: Bone marrow - Cell proliferation,Colon - Neutrophils,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ACADM,liver: 356.4;skeletal muscle: 367.9;tongue: 458.9,356.4,Cluster 35: Non-specific - Mitochondria,"Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skin - Sebaceous gland cells, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",True,False,False,True,liver protein (nTPM≥100 + enrichment),True,65,Medium-High Confidence,Not recommended
TOP1,,,Cluster 70: Lymphoid tissue - Immune response,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
G6PD,,,Cluster 77: Bone marrow - Cell proliferation,"Lung - Macrophages, Spleen - Neutrophils, Testis - Sertoli cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
UBL4A,,,Cluster 79: Non-specific - Transcription,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ESRRA,skeletal muscle: 188.4,,Cluster 35: Non-specific - Mitochondria,Stomach - Gastric mucous cells,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
PC,adipose tissue: 58.7;liver: 144.3,144.3,Cluster 69: Liver - Oxidoreductase activity,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Stomach - Chief cells, Testis - Early spermatids",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,85,High Confidence,Tier 2 (High)
CYP2A6,liver: 1564.1,1564.1,Cluster 31: Liver - Plasma proteins,"Liver - Hepatocytes, Lung - Respiratory ciliated cells",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,100,High Confidence,Tier 1 (Highest)
DMD,,,Cluster 3: Non-specific - Unknown function,"Breast - Breast myoepithelial cells, Kidney - Fibroblasts, Liver - Hepatocytes, Prostate - Smooth muscle cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
MTHFD1,liver: 330.3,330.3,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast), Liver - Hepatocytes",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,90,High Confidence,Tier 1 (Highest)
EPX,bone marrow: 33.2,,Cluster 6: Bone marrow - Innate immune response,"Lung - Neutrophil_1, Spleen - Hematopoietic stem cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
CYP2C9,liver: 1667.6,1667.6,Cluster 31: Liver - Plasma proteins,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Ductal cells, Stomach - Gastric mucous cells",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,100,High Confidence,Tier 1 (Highest)
IGF2R,skeletal muscle: 67.0,,Cluster 19: Non-specific - Basic cellular processes,"Adrenal gland - Adrenal cortex cells, Colon - Macrophages, Lung - Neutrophil_2",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
ADH5,,,Cluster 1: Liver & Kidney - Metabolism,"Adrenal gland - Adrenal cortex cells, Minor Salivary Gland - Macrophages, Prostate - Smooth muscle cells, Spleen - Fibroblast_1, Spleen - Fibroblast_2, Thyroid gland - Thyroid glandular cells",False,False,True,False,liver protein (cluster only),False,25,Low-Medium Confidence,Not recommended
PRPS2,ovary: 143.0;parathyroid gland: 176.2,,Cluster 16: Non-specific - Transcription,Thyroid gland - Thyroid glandular cells,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
PABPC1,,,Cluster 27: Squamous epithelium - Keratinization,Testis - Early spermatids,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
PCNA,bone marrow: 378.2,,Cluster 77: Bone marrow - Cell proliferation,"Skin - Mitotic cells (Skin), Spleen - Mitotic cells (Spleen), Testis - Early spermatids, Testis - Spermatocytes",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
HARS1,,,Cluster 33: Brain - Neuronal signaling,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
COL11A1,placenta: 19.5;retina: 9.3,,Cluster 34: Non-specific - Mixed function,"Adrenal gland - Adrenal cortex cells, Skeletal muscle - Fibroblasts, Spleen - Fibroblast_2, Testis - Early spermatids, Testis - Late spermatids",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
COL6A1,intestine: 770.1,,Cluster 41: Smooth muscle tissue - ECM organization,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Adrenal gland - Fibroblasts, Breast - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Pituitary gland - Gonadotropes, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Spleen - Fibroblast_1, Thyroid gland - Fibroblasts",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
COL6A2,,,Cluster 41: Smooth muscle tissue - ECM organization,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Adrenal gland - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Skin - Fibroblast_2, Spleen - Fibroblast_1",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
COL6A3,smooth muscle: 403.7,,Cluster 62: Connective tissue - ECM organization,"Kidney - Fibroblasts, Liver - Hepatic stellate cells, Minor Salivary Gland - Macrophages, Skin - Fibroblast_2",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
SLC25A4,heart muscle: 237.2;skeletal muscle: 184.0;tongue: 333.2,,Cluster 12: Heart muscle - Cardiac muscle contraction,"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells",False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
SLC25A6,,,Cluster 48: Stomach - Proteolysis,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
F5,choroid plexus: 79.3;liver: 171.0;placenta: 45.4,171.0,Cluster 11: Liver - Plasma proteins,"Adrenal gland - Neutrophils, Kidney - Podocytes, Liver - Hepatocytes, Lung - Neutrophil_2, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Urothelial cells, Skin - Eccrine sweat gland cells, Spleen - Neutrophils",True,False,True,True,liver protein (nTPM≥100 + cluster + enrichment),True,85,High Confidence,Tier 2 (High)
